Index,Percentage Difference (%),Matlab,Python
998,3.71757932455681e-08,(0.357576466+0j),(0.35757646613293187+0j)
999,3.5580271577068984e-08,(0.190341417+0j),(0.19034141693227602+0j)
1000,0.0,(1+0j),(1+0j)
1001,0.0,(2+0j),(2+0j)
1002,0.0,(6+0j),(6+0j)
1003,0.0,(7+0j),(7+0j)
1005,1.764023514080853e-08,(0.266545953+0j),(0.26654595304701934+0j)
1007,6.898581471464714e-08,(0.659854634+0j),(0.6598546335447939+0j)
1008,0.0,(3+0j),(3+0j)
1009,0.0,(6+0j),(6+0j)
1010,5.139339194097527e-09,(1.133549521+0j),(1.133549520941743+0j)
1011,2.0430080466431097e-09,(0.131231866+0j),(0.13123186600268108+0j)
1012,0.0,(1+0j),(1+0j)
1013,0.0,(1+0j),(1+0j)
1014,0.0,(1+0j),(1+0j)
1015,0.0,(1+0j),(1+0j)
1016,0.0,(1+0j),(1+0j)
1017,0.0,(1+0j),(1+0j)
1018,0.0,(1+0j),(1+0j)
1019,0.0,(1+0j),(1+0j)
1020,0.0,(1+0j),(1+0j)
1021,0.0,(1+0j),(1+0j)
